Identificador del sitio,Fecha,Clave WRB 2014,Grupo suelo,Altitud,Precipitacion media anual,Temperatura media anual,Cobertura de la tierra,PH,Carbon organico,saturacion de bases,Saturacion de sodio,Potasio,Calcio,Sodio,Magnesio,Fosfatos
D1403-106,14/10/1989,RGlep-sk-je(ar)/1P,Regosol,100,1000,26,Selva caducifolia,5.8,0.3,100.0,0.0,0.4,5.6,0.0,1.5,6.4
D1403-108,09/10/1986,PHcm(lo)/2P,Phaeozem,700,2500,24,Selva subcaducifolia,6.0,4.1,79.4,0.4,0.4,14.7,0.1,2.9,5.0
D1403-108,09/10/1986,PHcm(lo)/2P,Phaeozem,700,2500,24,Selva subcaducifolia,6.1,1.3,79.4,0.0,0.1,11.6,0.0,2.2,2.1
D1403-108,09/10/1986,PHcm(lo)/2P,Phaeozem,700,2500,24,Selva subcaducifolia,6.5,0.7,70.0,0.0,0.1,8.4,0.0,2.0,2.5
D1403-108,09/10/1986,PHcm(lo)/2P,Phaeozem,700,2500,24,Selva subcaducifolia,6.5,0.3,76.6,0.0,0.1,9.4,0.0,1.6,0.0
D1403-108,09/10/1986,PHcm(lo)/2P,Phaeozem,700,2500,24,Selva subcaducifolia,6.6,0.2,39.9,0.0,0.0,5.4,0.0,2.1,0.0
D1403-120,11/10/1986,"LVro(cep,ct,hu,lon)/3P",Luvisol,250,1200,26,Selva caducifolia,6.0,2.0,53.0,0.0,0.3,9.4,0.0,2.5,2.7
D1403-120,11/10/1986,"LVro(cep,ct,hu,lon)/3P",Luvisol,250,1200,26,Selva caducifolia,5.9,1.3,61.7,0.0,0.1,9.7,0.0,1.8,2.1
D1403-120,11/10/1986,"LVro(cep,ct,hu,lon)/3P",Luvisol,250,1200,26,Selva caducifolia,5.9,0.8,53.0,0.5,0.0,9.4,0.1,1.9,2.7
D1403-120,11/10/1986,"LVro(cep,ct,hu,lon)/3P",Luvisol,250,1200,26,Selva caducifolia,5.7,0.3,46.5,0.0,0.0,6.6,0.0,2.6,2.4
D1403-120,11/10/1986,"LVro(cep,ct,hu,lon)/3P",Luvisol,250,1200,26,Selva caducifolia,5.5,0.2,54.3,0.6,0.2,6.3,0.1,2.8,0.0
D1403-124,08/10/1986,RGlep-eu/1P,Regosol,100,800,26,Selva caducifolia,6.2,1.8,77.0,0.0,0.2,6.3,0.0,1.2,4.1
D1403-124,08/10/1986,RGlep-eu/1P,Regosol,100,800,26,Selva caducifolia,5.4,0.2,69.2,0.0,0.1,3.4,0.0,1.0,2.7
D1403-133,12/10/1986,RGlep-sk-eu/1P,Regosol,100,1000,26,Selva subcaducifolia,5.5,1.0,96.8,1.6,0.2,5.3,0.1,0.5,4.1
D1403-134,10/10/1986,"RGlen-ok-eu(arp,lon)/1P",Regosol,150,1000,26,Selva caducifolia,5.8,0.6,76.2,0.7,0.1,9.1,0.1,1.6,1.4
D1403-134,10/10/1986,"RGlen-ok-eu(arp,lon)/1P",Regosol,150,1000,26,Selva caducifolia,6.2,0.2,72.2,0.8,0.1,8.3,0.1,1.1,1.8
D1403-134,10/10/1986,"RGlen-ok-eu(arp,lon)/1P",Regosol,150,1000,26,Selva caducifolia,6.6,0.1,70.3,0.8,0.1,8.0,0.1,0.8,0.0
D1403-141,13/10/1986,"PHha(loe,so,qv)/2",Phaeozem,1,1000,26,Vegetación hidrófila,8.3,2.0,100.0,5.8,0.3,17.8,1.3,5.0,28.5
D1403-141,13/10/1986,"PHha(loe,so,qv)/2",Phaeozem,1,1000,26,Vegetación hidrófila,7.9,0.6,60.4,4.1,0.1,10.0,1.1,5.0,12.3
D1403-141,13/10/1986,"PHha(loe,so,qv)/2",Phaeozem,1,1000,26,Vegetación hidrófila,7.5,0.7,71.5,1.8,0.1,14.4,0.6,8.5,0.0
D1403-141,13/10/1986,"PHha(loe,so,qv)/2",Phaeozem,1,1000,26,Vegetación hidrófila,7.7,0.1,100.0,1.0,0.4,14.1,0.2,5.0,0.0
