Fecha,Producto,Concentración (N-P-K),N,P,K,Fuente,Municipio,Precio Minimo,Precio Maximo,Precio Frecuente,Obs,Presentacion kg
2025-06-13,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13750,13770,13750,Presentación en bulto de 50 kilos (granulado),1000
2025-06-13,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13170,13195,13180,Presentación en bulto de 50 kilos (granulado),1000
2025-06-13,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16350,16377,16350,Presentación en bulto de 50 kilos (granulado),1000
2025-06-13,Nitrato de amonio,33.5-00-00,33.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,11360,11390,11375,Presentación en bulto de 50 kilos (granulado),1000
2025-06-13,Sulfato de amonio,20.5-00-00,20.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,7110,7115,7115,Presentación en bulto de 50 kilos (polvo granulado y sal),1000
2025-06-13,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11550,11598,11550,Presentación en bulto de 50 kilos (granulado),1000
2025-07-15,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13757,13768,13757,Presentación en bulto de 50 kilos (granulado),1000
2025-07-15,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13178,13195,13180,Presentación en bulto de 50 kilos (granulado),1000
2025-07-15,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16355,16362,16362,Presentación en bulto de 50 kilos (granulado),1000
2025-07-15,Nitrato de amonio,33.5-00-00,33.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,11370,11395,11387,Presentación en bulto de 50 kilos (granulado),1000
2025-07-15,Sulfato de amonio,20.5-00-00,20.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,7118,7120,7118,Presentación en bulto de 50 kilos (polvo granulado y sal),1000
2025-07-15,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11558,11580,11558,Presentación en bulto de 50 kilos (granulado),1000
2025-08-15,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13760,13785,13760,Presentación en bulto de 50 kilos (granulado),1000
2025-08-15,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13185,13205,13185,Presentación en bulto de 50 kilos (granulado),1000
2025-08-15,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16360,16370,16370,Presentación en bulto de 50 kilos (granulado),1000
2025-08-15,Nitrato de amonio,33.5-00-00,33.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,11375,11397,11375,Presentación en bulto de 50 kilos (granulado),1000
2025-08-15,Sulfato de amonio,20.5-00-00,20.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,7120,7122,7122,Presentación en bulto de 50 kilos (polvo granulado y sal),1000
2025-08-15,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11562,11588,11565,Presentación en bulto de 50 kilos (granulado),1000
2025-09-15,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13755,13775,13755,Presentación en bulto de 50 kilos (granulado),1000
2025-09-15,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13182,13195,13190,Presentación en bulto de 50 kilos (granulado),1000
2025-09-15,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16365,16375,16365,Presentación en bulto de 50 kilos (granulado),1000
2025-09-15,Nitrato de amonio,33.5-00-00,33.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,11370,11390,11380,Presentación en bulto de 50 kilos (granulado),1000
2025-09-15,Sulfato de amonio,20.5-00-00,20.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,7120,7122,7120,Presentación en bulto de 50 kilos (polvo granulado y sal),1000
2025-09-15,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11560,11582,11565,Presentación en bulto de 50 kilos (granulado),1000
2025-10-15,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13768,13785,13768,Presentación en bulto de 50 kilos (granulado),1000
2025-10-15,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13190,13210,13195,Presentación en bulto de 50 kilos (granulado),1000
2025-10-15,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16375,16390,16385,Presentación en bulto de 50 kilos (granulado),1000
2025-10-15,Nitrato de amonio,33.5-00-00,33.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,11370,11390,11380,Presentación en bulto de 50 kilos (granulado),1000
2025-10-15,Sulfato de amonio,20.5-00-00,20.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,7122,7125,7125,Presentación en bulto de 50 kilos (polvo granulado y sal),1000
2025-10-15,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11570,11585,11575,Presentación en bulto de 50 kilos (granulado),1000
2025-11-14,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13775,13790,13780,Presentación en bulto de 50 kilos (granulado),1000
2025-11-14,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13198,13220,13198,Presentación en bulto de 50 kilos (granulado),1000
2025-11-14,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16375,16385,16380,Presentación en bulto de 50 kilos (granulado),1000
2025-11-14,Nitrato de amonio,33.5-00-00,33.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,11375,11395,11375,Presentación en bulto de 50 kilos (granulado),1000
2025-11-14,Sulfato de amonio,20.5-00-00,20.5,0.0,0.0,Distribuidora,Oaxaca de Juárez,7122,7125,7122,Presentación en bulto de 50 kilos (polvo granulado y sal),1000
2025-11-14,Urea,46-00-00,46.0,0.0,0.0,Distribuidora,Oaxaca de Juárez,11570,11595,11580,Presentación en bulto de 50 kilos (granulado),1000
2025-12-15,Cloruro de potasio,00-00-60,0.0,0.0,60.0,Distribuidora,Oaxaca de Juárez,13780,13798,13790,Presentación en bulto de 50 kilos (granulado),1000
2025-12-15,Complejo npk triple 17,17-17-17,17.0,17.0,17.0,Distribuidora,Oaxaca de Juárez,13200,13230,13200,Presentación en bulto de 50 kilos (granulado),1000
2025-12-15,Fosfato diamónico,18-46-00,18.0,46.0,0.0,Distribuidora,Oaxaca de Juárez,16378,16395,16380,Presentación en bulto de 50 kilos (granulado),1000
